MLS,Property Type,Condo/SFH,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Zip,Est Sales price (sq ft),Purchase Price,Resale Price,Update Costs (sq ft) by Q,Rehab Costs,Closing Costs,Ave Update Total Cost,Total Investment,Ave Profit,Ave Return
7873007,Condominium,0,339000,Yes,10000,1/21/2026,874,sqft,387.87,80203,343.65282,300354,388930,35,30590,24028.32,54618.32,354972.32,33957.68,0.095662896
7099655,Condominium,0,214999,No,,,418,sqft,514.35,80203,455.7141,190489.114,186010,15,6270,15239.12912,21509.12912,211998.2431,-25988.24312,-0.122587068
3787188,Condominium,0,184999,No,,,401,sqft,461.34,80203,408.74724,163909.114,178445,15,6015,13112.72912,19127.72912,183036.8431,-4591.84312,-0.025086988
8927725,Condominium,0,585000,Yes,15000,2/6/2026,1325,sqft,441.51,80203,391.17786,518310,589625,25,33125,41464.8,74589.8,592899.8,-3274.8,-0.005523362
2499900,Condominium,0,219999,Yes,9991,1/25/2026,580,sqft,379.31,80203,336.06866,194919.114,258100,35,20300,15593.52912,35893.52912,230812.6431,27287.35688,0.118222973
1658557,Condominium,0,324900,No,,,815,sqft,398.65,80203,353.2039,287861.4,362675,35,28525,23028.912,51553.912,339415.312,23259.688,0.068528694
2421539,Condominium,0,245000,No,,,622,sqft,393.89,80203,348.98654,217070,276790,35,21770,17365.6,39135.6,256205.6,20584.4,0.080343287
3103433,Condominium,0,430000,No,,,1382,sqft,311.14,80203,275.67004,380980,614990,45,62190,30478.4,92668.4,473648.4,141341.6,0.298410382
3400214,Condominium,0,290000,Yes,20000,11/22/2025,713,sqft,406.73,80203,360.36278,256940,317285,25,17825,20555.2,38380.2,295320.2,21964.8,0.074376219
4789983,Condominium,0,184995,Yes,4,1/8/2026,499,sqft,370.73,80203,328.46678,163905.57,222055,35,17465,13112.4456,30577.4456,194483.0156,27571.9844,0.141770654
2750146,Condominium,0,399900,No,,,836,sqft,478.35,80203,423.8181,354311.4,372020,15,12540,28344.912,40884.912,395196.312,-23176.312,-0.058645061
194354983,Condominium,0,549950,Yes,9050,2/2/2026,1308,sqft,420.45,80203,372.5187,487255.7,582060,25,32700,38980.456,71680.456,558936.156,23123.844,0.041371172
2120621,Condominium,0,250000,Yes,15000,2/12/2026,718,sqft,348.19,80203,308.49634,221500,319510,45,32310,17720,50030,271530,47980,0.17670239
7939772,Condominium,0,274500,Yes,500,2/12/2026,711,sqft,386.08,80203,342.06688,243207,316395,35,24885,19456.56,44341.56,287548.56,28846.44,0.100318499
7015109,Condominium,0,269000,Yes,1000,2/20/2026,711,sqft,378.34,80203,335.20924,238334,316395,35,24885,19066.72,43951.72,282285.72,34109.28,0.120832467
3812152,Condominium,0,349000,No,,,717,sqft,486.75,80203,431.2605,309214,319065,15,10755,24737.12,35492.12,344706.12,-25641.12,-0.07438545
6005960,Condominium,0,285000,Yes,14000,11/13/2025,605,sqft,471.07,80203,417.36802,252510,269225,15,9075,20200.8,29275.8,281785.8,-12560.8,-0.044575703
5778647,Condominium,0,211450,Yes,8050,12/3/2025,564,sqft,374.91,80203,332.17026,187344.7,250980,35,19740,14987.576,34727.576,222072.276,28907.724,0.130172593
5882916,Condominium,0,213000,Yes,2000,1/31/2026,424,sqft,502.36,80203,445.09096,188718,188680,15,6360,15097.44,21457.44,210175.44,-21495.44,-0.102273796
2633959,Condominium,0,328900,No,,,937,sqft,351.01,80203,310.99486,291405.4,416965,45,42165,23312.432,65477.432,356882.832,60082.168,0.168352643
4591302,Condominium,0,320000,No,,,717,sqft,446.3,80203,395.4218,283520,319065,25,17925,22681.6,40606.6,324126.6,-5061.6,-0.01561612
8742792,Condominium,0,334999,Yes,5000,2/4/2026,786,sqft,426.21,80203,377.62206,296809.114,349770,25,19650,23744.72912,43394.72912,340203.8431,9566.15688,0.028118897
3001251,Condominium,0,186500,No,,,458,sqft,407.21,80203,360.78806,165239,203810,25,11450,13219.12,24669.12,189908.12,13901.88,0.073203189
4934350,Condominium,0,297000,Yes,3000,1/16/2026,559,sqft,531.31,80203,470.74066,263142,248755,15,8385,21051.36,29436.36,292578.36,-43823.36,-0.149783326
6033425,Condominium,0,187500,Yes,12400,11/17/2025,404,sqft,464.11,80203,411.20146,166125,179780,15,6060,13290,19350,185475,-5695,-0.030704947
2163281,Condominium,0,185000,No,,,365,sqft,506.85,80203,449.0691,163910,162425,15,5475,13112.8,18587.8,182497.8,-20072.8,-0.109989271
2533080,Condominium,0,201500,No,,,464,sqft,434.27,80203,384.76322,178529,206480,25,11600,14282.32,25882.32,204411.32,2068.68,0.010120183
6459678,Condominium,0,204500,Yes,500,1/27/2026,354,sqft,577.68,80203,511.82448,181187,157530,15,5310,14494.96,19804.96,200991.96,-43461.96,-0.216237306
7509308,Condominium,0,199950,Yes,50,9/5/2025,485,sqft,412.27,80203,365.27122,177155.7,215825,25,12125,14172.456,26297.456,203453.156,12371.844,0.0608093
5373382,Single Family,1,750000,No,,,2278,sqft,329.24,80203,291.70664,733000,775000,,18224,58640,76864,809864,-34864,-0.043049203
9148877,Single Family,1,1125000,Yes,25000,2/24/2026,4072,sqft,276.28,80203,244.78408,972000,1240000,,20000,77760,97760,1069760,170240,0.159138498
8285415,Single Family,1,1895000,No,,,5822,sqft,325.49,80203,288.38414,1770000,1895000,,0,141600,141600,1911600,-16600,-0.008683825
1050017,Single Family,1,899000,Yes,26000,2/11/2026,2190,sqft,410.5,80203,363.703,795000,899000,,"10,000",63600,73600,868600,30400,0.034998849
3787657,Single Family,1,875000,No,,,2248,sqft,389.23,80203,344.85778,750000,875000,,40000,60000,100000,850000,25000,0.029411765
6187588,Single Family,1,1350000,No,,,3631,sqft,371.8,80203,329.4148,900000,1400000,,200000,72000,272000,1172000,228000,0.194539249
